,AIS_ID,admission_points,admissions_points_ext,education_achieved,sex,nationality,admission_from,study_programme,age,graduation_year,VŠP_štúdium,FYZ_B,OOP_B,PAM_B,PRPR_B,ZPRPR2_B,TZIV_B,ADM_B,AJ_B,MA_B,MIP_B,PPI_B,attd_FYZ_B,attd_OOP_B,attd_PRPR_B,attd_ZPRPR2_B,attd_TZIV_B,attd_ADM_B,attd_AJ_B,attd_MA_B,attd_MIP_B,attd_PPI_B,end_type,school_general_rating,school_math_rating,school_foreign_lang_rating,school_university_admissions_rating,school_finance_sources_rating,school_pedagogical_team
26,79608,94.6,False,5,0,1,2,0,25,2015.0,1.87,2.0,1.5,1.5,1.5,0.0,2.0,2.0,1.0,2.0,1.5,1.0,11,12,10,0,2,0,12,0,8,12,1,5.64,7.35,7.21,5.15,7.36,2.83
27,79829,66.5,False,5,0,1,2,1,24,2015.0,0.0,2.5,2.5,2.0,2.0,0.0,2.5,3.0,1.5,2.0,1.0,1.5,13,12,12,0,0,0,8,0,12,12,0,5.64,7.35,7.21,5.15,7.36,2.83
28,85878,66.5,False,5,0,1,2,1,24,2016.0,0.0,3.0,2.5,1.5,4.0,0.0,3.0,2.5,2.0,2.5,1.5,3.0,23,11,22,0,12,0,10,24,12,12,0,5.64,7.35,7.21,5.15,7.36,2.83
29,92167,50.2,False,5,0,1,2,0,22,2017.0,2.61,0.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,2.5,2.5,4.0,0,0,9,0,0,13,9,12,2,11,0,5.64,7.35,7.21,5.15,7.36,2.83
30,74287,77.97580419467039,False,5,0,1,2,0,25,2014.0,2.11,2.9773906649469053,2.5,2.0,0.11304667526547352,1.9095626597876212,1.432171994840716,2.4773906649469053,1.0226093350530947,2.9773906649469053,1.9547813298938106,2.5,12,11,0,11,8,0,11,0,8,11,1,5.64,7.35,7.21,5.15,7.36,2.83
31,79606,82.82201109982954,False,5,0,1,2,0,24,2015.0,2.15,2.3271663583380686,1.8271663583380684,2.481499075014205,1.5,0.0,2.3271663583380686,2.654332716676137,1.0,2.654332716676137,1.1728336416619316,1.6543327166761368,12,12,11,0,6,0,6,0,9,12,1,5.64,7.35,7.21,5.15,7.36,2.83
32,79628,85.83468367022189,False,5,0,1,2,0,25,2015.0,2.09,2.5637443311659913,2.5,1.5,2.5,0.0,2.4362556688340087,2.5637443311659913,1.0637443311659913,2.0,1.6274886623319824,1.5637443311659913,10,12,11,0,2,0,10,0,8,12,1,5.64,7.35,7.21,5.15,7.36,2.83
33,79598,86.25515639399,True,5,0,1,2,0,23,2015.0,1.99,1.6474818857876037,1.549160628595868,1.725419685702066,1.5,0.0,2.2254196857020663,2.049160628595868,1.0,2.323740942893802,1.549160628595868,1.274580314297934,6,12,9,0,8,0,11,0,0,12,1,5.64,7.35,7.21,5.15,7.36,2.83
34,79600,84.55784110596728,False,5,0,1,2,0,24,2015.0,2.13,2.727692673480631,1.8638463367403155,1.5,1.5,0.0,2.0,2.3638463367403153,1.0,2.727692673480631,1.8638463367403155,1.3638463367403155,11,12,9,0,7,0,12,0,2,12,1,5.64,7.35,7.21,5.15,7.36,2.83
35,79601,78.92754761056632,False,5,0,1,2,0,24,2015.0,2.17,2.7770890012578966,2.0,2.1687329962263098,1.5,0.0,2.2229109987421034,2.7229109987421034,1.0,3.0,1.5541780025157934,1.7229109987421034,12,12,10,0,9,0,8,0,4,12,1,5.64,7.35,7.21,5.15,7.36,2.83
36,8455,62.9,False,5,0,1,2,6,29,2011.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.94,4.18,6.62,6.72,7.34,2.71
37,72445,45.6,False,5,0,1,2,0,26,2013.0,2.29,0.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,4.0,1.5,4.0,0,0,5,0,0,9,13,0,0,10,0,4.94,4.18,6.62,6.72,7.34,2.71
38,73901,83.6,False,5,0,1,2,0,26,2014.0,2.1,2.0,2.5,2.0,2.5,0.0,0.0,1.5,1.5,3.0,2.0,2.0,14,11,12,0,0,12,13,0,9,12,1,4.94,4.18,6.62,6.72,7.34,2.71
39,73909,68.4,False,5,0,1,2,6,25,2014.0,2.34,3.0,2.5,0.0,3.0,0.0,0.0,2.0,2.5,3.0,2.0,1.5,13,12,12,0,0,4,12,0,11,0,0,4.94,4.18,6.62,6.72,7.34,2.71
40,73977,62.8,False,5,0,1,2,6,25,2014.0,1.7,1.5,2.5,0.0,2.5,0.0,0.0,1.0,2.0,1.5,1.0,1.5,13,12,11,0,0,0,12,0,10,0,0,4.94,4.18,6.62,6.72,7.34,2.71
41,74238,38.4,False,5,0,1,2,6,25,2014.0,2.21,3.0,3.0,0.0,2.5,0.0,0.0,1.5,1.0,3.0,1.5,2.0,12,11,21,0,0,0,11,0,10,0,0,4.94,4.18,6.62,6.72,7.34,2.71
42,74239,32.7,False,5,0,1,2,6,26,2014.0,2.05,4.0,2.5,0.0,2.5,0.0,0.0,1.5,2.0,4.0,1.0,0.0,12,11,22,0,0,0,12,0,10,0,0,4.94,4.18,6.62,6.72,7.34,2.71
43,74334,38.4,False,5,0,1,2,0,25,2014.0,1.75,2.0,1.5,0.0,2.5,0.0,0.0,2.5,1.5,1.5,1.5,1.0,11,11,11,0,0,0,12,0,11,0,0,4.94,4.18,6.62,6.72,7.34,2.71
44,75022,83.6,False,5,0,1,2,6,25,2014.0,2.25,4.0,4.0,0.0,4.0,0.0,0.0,2.0,2.5,4.0,2.0,0.0,11,9,23,0,0,4,11,0,9,0,0,4.94,4.18,6.62,6.72,7.34,2.71
45,79551,80.8,False,5,0,1,2,0,24,2015.0,1.93,2.0,2.0,1.0,2.5,0.0,2.0,1.5,1.0,2.5,1.0,1.0,12,12,12,0,9,0,4,0,11,12,1,4.94,4.18,6.62,6.72,7.34,2.71
46,73895,88.67625290709577,True,5,0,1,2,0,26,2014.0,2.18,2.035708575570508,1.6904723837136721,1.654763808143164,2.035708575570508,0.0,1.3809447674273445,1.0,1.654763808143164,2.3809447674273443,1.345236191856836,1.345236191856836,14,12,12,0,7,24,12,0,9,11,1,4.94,4.18,6.62,6.72,7.34,2.71
47,79533,75.9611340745234,False,5,0,1,2,0,24,2015.0,1.93,2.7338058643847534,2.4112686214615846,1.5,2.322537242923169,0.0,1.9112686214615846,2.822537242923169,1.5,2.2338058643847534,1.0887313785384154,1.9112686214615846,13,12,12,0,11,0,4,0,11,12,1,4.94,4.18,6.62,6.72,7.34,2.71
48,73907,81.30488397794363,False,5,0,1,2,0,25,2014.0,2.18,1.0233548842313323,1.7675161631734992,1.511677442115666,2.011677442115666,0.0,0.0,1.255838721057833,1.744161278942167,2.023354884231332,1.511677442115666,1.511677442115666,7,11,12,0,0,17,12,0,9,12,1,4.94,4.18,6.62,6.72,7.34,2.71
49,73876,93.364860877156,False,5,0,1,2,0,25,2014.0,2.1,2.3561674570033677,1.785389152334456,1.5707783046689119,2.214610847665544,0.0,0.0,1.285389152334456,1.5,1.8561674570033677,1.0,1.785389152334456,14,12,11,0,0,7,12,0,11,12,1,4.94,4.18,6.62,6.72,7.34,2.71
50,73884,99.03684790927201,True,5,0,1,2,0,25,2014.0,1.71,1.8375235571547754,1.4187617785773878,2.0,1.4187617785773878,0.0,0.0,1.209380889288694,1.790619110711306,1.6281426678660815,1.0,1.4187617785773878,14,12,11,0,0,15,12,0,10,11,1,4.94,4.18,6.62,6.72,7.34,2.71
51,73898,83.95672551120157,False,5,0,1,2,0,26,2014.0,2.18,2.5,2.034973089333487,1.5,2.5174865446667436,0.0,1.9300538213330252,1.0699461786669748,1.5174865446667436,3.0,1.4825134553332564,1.5349730893334874,14,12,12,0,10,23,11,0,9,12,1,4.94,4.18,6.62,6.72,7.34,2.71
52,73880,77.55714384443291,False,5,0,1,2,0,25,2014.0,2.1,2.5,2.7615327123845597,1.7615327123845597,2.0230654247691193,0.0,0.0,2.0230654247691193,1.5230654247691193,2.5230654247691193,1.784598137153679,2.5230654247691193,11,10,17,0,0,3,11,0,12,12,1,4.94,4.18,6.62,6.72,7.34,2.71
53,73881,95.1896928671365,False,5,0,1,2,0,25,2014.0,1.73,2.8219640331302487,2.089017983434876,2.0,2.089017983434876,0.0,0.0,1.5,1.5,2.589017983434876,1.1780359668697513,2.0,14,11,11,0,0,5,12,0,11,12,1,4.94,4.18,6.62,6.72,7.34,2.71
54,73879,89.53629220734075,True,5,0,1,2,0,25,2014.0,2.23,2.2657711039507147,2.2657711039507147,1.5780762986830952,1.4219237013169048,0.0,0.0,1.4219237013169048,1.1561525973661904,1.8438474026338096,1.0,1.8438474026338096,14,12,11,0,0,7,11,0,11,11,1,4.94,4.18,6.62,6.72,7.34,2.71
55,73895,87.51012276671952,False,5,0,1,2,0,25,2014.0,2.1,0.056173270800293496,1.5112346541600588,1.5,2.0112346541600585,0.0,0.044938616640234796,1.0,1.9887653458399412,1.0449386166402348,1.0112346541600588,1.5,0,11,12,0,0,24,12,0,9,12,1,4.94,4.18,6.62,6.72,7.34,2.71
56,73895,73.35711440227108,False,5,0,1,2,0,25,2014.0,1.94,2.630983191786815,2.130983191786815,1.8929495753604444,2.2380336164263706,0.0,2.0,1.3929495753604444,1.5,3.0,1.5,1.7619663835736294,15,10,15,0,10,20,11,0,11,11,1,4.94,4.18,6.62,6.72,7.34,2.71
57,73914,44.5,False,5,0,1,2,0,24,2014.0,2.1,2.531585130337621,1.0947553910128631,2.063170260675242,1.968414869662379,0.0,0.12634052135048401,1.0947553910128631,1.031585130337621,2.531585130337621,1.031585130337621,2.031585130337621,14,11,12,0,0,11,0,0,11,11,1,4.94,4.18,6.62,6.72,7.34,2.71
58,73894,90.73116835310144,True,5,0,1,2,0,26,2014.0,1.71,1.8477589920943807,1.5651726613962538,1.7174136693018731,1.8477589920943807,0.0,1.1303453227925075,1.0,1.7174136693018731,2.1303453227925075,1.2825863306981269,1.2825863306981269,14,12,12,0,6,24,12,0,9,11,1,4.94,4.18,6.62,6.72,7.34,2.71
59,48067,80.5,False,5,0,1,3,0,26,2012.0,2.65,2.5,2.5,1.5,2.0,0.0,2.5,3.0,1.5,3.0,1.5,2.0,0,12,10,0,11,0,4,0,0,12,0,6.09,3.51,6.41,6.81,7.25,3.66
60,74166,96.4,False,5,0,1,2,0,25,2014.0,2.48,2.0,2.5,2.0,2.5,0.0,0.0,3.0,1.5,2.0,1.5,2.0,12,12,11,0,0,0,11,0,10,12,1,6.09,3.51,6.41,6.81,7.25,3.66
61,79465,52.0,False,5,0,1,2,6,24,2015.0,0.0,3.0,2.0,1.5,2.5,0.0,3.0,2.5,1.5,3.0,1.5,1.5,13,11,11,0,7,0,8,0,20,12,0,6.09,3.51,6.41,6.81,7.25,3.66
62,79628,61.5,False,5,0,1,2,0,24,2015.0,1.98,3.0,2.5,1.5,1.5,0.0,2.5,3.0,1.0,3.0,2.0,1.0,13,12,11,0,12,0,10,0,8,12,1,6.09,3.51,6.41,6.81,7.25,3.66
63,79809,89.0,False,5,0,1,2,1,25,2015.0,0.0,2.5,2.5,2.0,2.5,0.0,2.5,2.5,1.5,2.5,1.5,1.5,13,12,10,0,0,0,4,0,0,11,0,6.09,3.51,6.41,6.81,7.25,3.66
64,79819,87.0,False,5,0,1,2,0,23,2015.0,1.61,1.5,2.0,1.5,1.5,0.0,1.5,1.5,1.5,1.5,2.0,1.0,13,12,12,0,0,0,4,0,0,11,1,6.09,3.51,6.41,6.81,7.25,3.66
65,79634,73.40513396398147,False,5,0,1,2,0,24,2015.0,1.52,3.0,2.698271391160635,1.698271391160635,2.5,0.0,2.0,3.0,1.301728608839365,2.198271391160635,2.5,2.198271391160635,10,12,11,0,2,0,14,4,9,12,1,6.09,3.51,6.41,6.81,7.25,3.66
66,74184,86.75111468747666,False,5,0,1,2,0,25,2014.0,1.74,1.852510680655481,1.7841702268851602,1.4316595462296795,2.4316595462296795,0.0,0.0,1.5683404537703205,1.2841702268851602,1.5,1.5,1.2841702268851602,12,12,11,0,0,1,11,0,10,12,1,6.09,3.51,6.41,6.81,7.25,3.66
67,81261,75.69745377185521,False,5,0,1,2,0,23,2015.0,1.15,1.721618553493035,1.778381446506965,1.278381446506965,1.5,0.0,1.94323710698607,1.94323710698607,1.278381446506965,1.94323710698607,1.55676289301393,1.44323710698607,12,11,8,0,0,0,7,0,3,9,1,6.09,3.51,6.41,6.81,7.25,3.66
68,79934,90.0892337554814,False,5,0,1,2,0,23,2015.0,1.6,1.5,1.1870437485575234,1.5,1.0935218742787618,0.0,1.0935218742787618,1.9064781257212382,1.5,1.5,1.1870437485575234,1.0,13,11,12,0,7,0,7,0,8,11,1,6.09,3.51,6.41,6.81,7.25,3.66
69,79629,61.62416615966144,False,5,0,1,2,0,24,2015.0,2.19,3.0,3.0,2.0,2.922818642362899,0.0,2.422818642362899,2.577181357637101,1.4228186423628988,2.5,2.5,2.077181357637101,10,12,11,0,2,0,11,12,8,12,1,6.09,3.51,6.41,6.81,7.25,3.66
70,79807,94.2052384182504,False,5,0,1,2,0,24,2015.0,1.64,2.767787304853183,1.6161063475734085,1.3838936524265915,1.8838936524265915,0.0,1.8838936524265915,2.267787304853183,1.1161063475734085,1.8838936524265915,1.0,1.0,13,12,12,0,0,0,6,0,2,11,1,6.09,3.51,6.41,6.81,7.25,3.66
71,79803,92.6073169765552,True,5,0,1,2,0,24,2015.0,1.35,3.0,1.5,1.5,1.73780486533621,0.0,1.73780486533621,2.5,1.26219513466379,2.26219513466379,1.5243902693275801,1.0,13,12,12,0,0,0,8,0,5,11,1,6.09,3.51,6.41,6.81,7.25,3.66
72,74160,97.98697801358215,False,5,0,1,2,0,25,2014.0,1.6,2.3850471137525373,1.795015704584179,1.8975078522920894,2.6925235568762687,0.0,0.0,1.1024921477079106,1.3975078522920894,2.6925235568762687,1.8975078522920894,2.295015704584179,9,12,11,0,0,0,10,0,10,12,1,6.09,3.51,6.41,6.81,7.25,3.66
73,74170,96.93998085187123,False,5,0,1,2,0,25,2014.0,2.48,0.34839018518206033,1.1393560740728241,1.430321962963588,1.569678037036412,0.0,0.0,1.569678037036412,1.069678037036412,1.5,1.5,1.5,1,12,11,0,0,0,9,0,10,12,1,6.09,3.51,6.41,6.81,7.25,3.66
74,79629,61.11179878320221,False,5,0,1,2,0,25,2015.0,2.09,3.0,2.91685831562196,1.9168583156219603,2.91685831562196,0.0,2.41685831562196,2.58314168437804,1.5,2.41685831562196,2.5,2.0,10,12,11,0,2,0,10,10,8,12,1,6.09,3.51,6.41,6.81,7.25,3.66
75,48072,91.5,False,5,0,1,3,0,27,2012.0,2.59,2.5,2.5,2.0,3.0,0.0,0.0,2.0,2.0,3.0,1.5,2.5,0,11,12,0,0,12,12,0,9,9,1,6.1,6.52,6.05,6.76,7.32,2.89
76,73698,78.9,False,5,0,1,2,0,25,2014.0,2.47,3.0,2.5,1.5,2.5,0.0,0.0,2.0,1.5,3.0,1.5,2.5,21,11,24,0,0,12,11,0,10,12,0,6.1,6.52,6.05,6.76,7.32,2.89
77,73705,78.9,False,5,0,1,2,0,25,2014.0,2.41,4.0,3.0,2.5,3.0,0.0,4.0,1.5,1.5,2.5,2.0,2.5,25,10,11,0,7,3,12,0,12,12,0,6.1,6.52,6.05,6.76,7.32,2.89
78,73910,73.9,False,5,0,1,2,0,26,2014.0,1.9,4.0,4.0,4.0,4.0,0.0,0.0,1.5,2.0,4.0,1.5,2.5,11,11,24,0,0,24,12,0,9,12,0,6.1,6.52,6.05,6.76,7.32,2.89
79,73980,87.6,False,5,0,1,2,0,26,2014.0,2.15,4.0,4.0,4.0,4.0,0.0,0.0,2.5,2.0,4.0,2.0,2.0,8,8,23,0,0,11,11,0,10,12,0,6.1,6.52,6.05,6.76,7.32,2.89
80,74061,87.6,False,5,0,1,2,6,24,2014.0,1.87,4.0,2.5,0.0,2.0,0.0,0.0,2.0,1.0,4.0,1.5,1.5,12,11,19,0,0,0,0,0,10,0,0,6.1,6.52,6.05,6.76,7.32,2.89
81,74224,62.8,False,5,0,1,2,0,26,2014.0,2.27,4.0,2.5,1.0,4.0,0.0,0.0,1.5,2.5,4.0,2.0,1.5,9,11,21,0,0,0,12,0,12,22,0,6.1,6.52,6.05,6.76,7.32,2.89
82,79532,76.6,False,5,0,1,2,0,24,2015.0,2.39,3.0,2.5,1.5,2.5,0.0,2.0,3.0,1.5,2.5,1.0,2.0,13,12,12,0,11,0,4,0,11,12,1,6.1,6.52,6.05,6.76,7.32,2.89
83,85972,76.9,False,5,0,1,2,0,24,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0,0,8,0,0,0,9,0,7,10,0,6.1,6.52,6.05,6.76,7.32,2.89
84,79546,77.53770431693317,False,5,0,1,2,0,24,2015.0,1.97,1.7908784818546906,2.0,1.2091215181453094,2.081756963709381,0.0,1.7908784818546906,1.7091215181453094,1.2091215181453094,1.8726354455640717,1.2091215181453094,1.2091215181453094,12,12,12,0,9,0,5,0,11,12,1,6.1,6.52,6.05,6.76,7.32,2.89
85,79528,68.47788983606053,False,5,0,1,2,0,24,2015.0,1.97,2.870840584848505,2.5,1.5645797075757475,3.8062608772727575,0.0,2.370840584848505,2.870840584848505,1.5645797075757475,2.4354202924242525,1.5645797075757475,1.9354202924242525,13,12,20,0,10,0,4,0,11,12,1,6.1,6.52,6.05,6.76,7.32,2.89
86,79540,67.22687690848454,False,5,0,1,2,0,24,2015.0,2.39,2.0185439902558793,2.0,1.5,1.5,0.0,1.6728479967519596,2.1728479967519596,1.5,1.3456959935039194,1.3271520032480404,1.3271520032480404,13,12,12,0,11,0,8,0,11,12,1,6.1,6.52,6.05,6.76,7.32,2.89
87,79541,56.51188915070383,False,5,0,1,2,0,24,2015.0,2.18,3.0,2.00905509191042,1.5,1.5452754595521012,0.0,2.00905509191042,2.50905509191042,1.5,2.00905509191042,1.0090550919104202,1.0181101838208404,13,12,12,0,10,0,7,0,11,12,1,6.1,6.52,6.05,6.76,7.32,2.89
88,48085,84.7,False,5,0,1,2,7,27,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,4,0,0,5,0,0,0,0,6.27,5.16,8.39,6.86,2.67,5.15
89,73682,38.4,False,5,1,1,2,6,26,2014.0,2.07,3.0,2.0,0.0,3.0,0.0,0.0,1.5,2.0,3.0,1.5,2.0,13,12,12,0,0,4,11,0,10,0,0,6.27,5.16,8.39,6.86,2.67,5.15
90,73690,73.9,False,5,0,1,2,6,25,2014.0,2.34,2.5,3.0,0.0,2.5,0.0,0.0,2.0,1.0,3.0,2.0,2.5,25,12,23,0,0,4,0,0,9,0,0,6.27,5.16,8.39,6.86,2.67,5.15
91,73942,79.3,False,5,0,1,2,1,26,2014.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,11,0,0,0,0,6.27,5.16,8.39,6.86,2.67,5.15
92,79653,85.0,False,5,0,1,2,0,24,2015.0,1.89,2.5,2.5,1.5,2.5,0.0,1.5,2.5,1.5,3.0,1.5,1.0,11,12,12,0,2,0,9,0,11,12,1,6.27,5.16,8.39,6.86,2.67,5.15
93,79711,84.8,False,5,0,1,2,0,24,2015.0,1.99,3.0,2.5,1.5,2.5,0.0,3.0,3.0,1.0,1.0,1.0,1.5,13,11,12,0,11,0,10,0,12,12,1,6.27,5.16,8.39,6.86,2.67,5.15
94,79689,95.5559730694028,False,5,0,1,2,0,24,2015.0,2.16,1.7029164356174202,1.9323611881275267,1.1352776237449467,1.4323611881275267,0.0,2.0,2.4323611881275267,1.0,1.1352776237449467,1.0676388118724733,1.0,12,12,12,0,12,0,11,0,11,12,1,6.27,5.16,8.39,6.86,2.67,5.15
95,79716,92.23607053913408,False,5,0,1,2,0,24,2015.0,2.02,2.6220867002278734,2.1220867002278734,1.5,1.9331300503418103,0.0,2.43313005034181,2.3110433501139367,1.5,2.43313005034181,1.3110433501139367,2.0,12,12,12,0,10,0,7,0,10,12,1,6.27,5.16,8.39,6.86,2.67,5.15
96,79721,94.87497785464687,False,5,0,1,2,0,25,2015.0,2.44,2.0887025337570555,1.5443512668785278,1.5443512668785278,1.0887025337570555,0.0,1.5887025337570555,2.0,1.4556487331214722,1.5443512668785278,1.0,2.0,11,12,12,0,12,0,10,0,12,12,1,6.27,5.16,8.39,6.86,2.67,5.15
97,79716,92.41581131698308,False,5,0,1,2,0,24,2015.0,1.99,2.5747864955307667,2.0747864955307667,1.5,1.8621797432961498,0.0,2.3621797432961498,2.287393247765383,1.5,2.3621797432961498,1.2873932477653833,2.0,12,12,12,0,10,0,7,0,10,12,1,6.27,5.16,8.39,6.86,2.67,5.15
